data\house.png	0.22051	-0.33852	-0.18715	0.41719	0.35385	0.20741	-0.16189	-0.34074	-0.39362	0.25957	-0.25653	0.21190	0.98946	
data\lake.tiff	0.23197	-0.32949	-0.23233	0.41592	0.39836	0.23179	-0.16546	-0.33176	-0.34571	0.22530	-0.20796	0.23651	0.99054	
data\lax.tiff	0.22309	-0.31275	-0.21577	0.38609	0.39319	0.22897	-0.17215	-0.36860	-0.34411	0.23413	-0.24150	0.24303	0.99373	
data\lena256.bmp	0.20635	-0.33624	-0.21365	0.42754	0.38473	0.22404	-0.17731	-0.34493	-0.35952	0.22773	-0.21038	0.23199	0.98814	
data\lena512.bmp	0.22762	-0.33638	-0.21009	0.40872	0.39387	0.21226	-0.17084	-0.34615	-0.36199	0.24024	-0.25018	0.21615	0.99702	
data\loco.BMP	0.21264	-0.32674	-0.19331	0.43260	0.33926	0.21728	-0.17860	-0.33144	-0.38098	0.26043	-0.26158	0.21279	0.98910	
data\man.tiff	0.22080	-0.32734	-0.21363	0.41908	0.38907	0.21418	-0.14690	-0.34136	-0.37377	0.25013	-0.24143	0.23218	0.99566	
data\martha.BMP	0.24515	-0.31919	-0.20783	0.42077	0.41347	0.26587	-0.18919	-0.28182	-0.29913	0.23478	-0.23833	0.21543	0.98416	
data\milkdrop.tiff	0.22445	-0.33136	-0.22437	0.40711	0.40332	0.23418	-0.17666	-0.34572	-0.32741	0.23056	-0.21445	0.22349	0.98774	
data\peppers.bmp	0.24235	-0.34179	-0.22243	0.41982	0.36430	0.24564	-0.17862	-0.31956	-0.34523	0.22734	-0.20206	0.23215	0.98722	
data\reagan.BMP	0.23343	-0.32421	-0.20463	0.42057	0.37780	0.23379	-0.17388	-0.32966	-0.35268	0.25624	-0.24581	0.22584	0.99822	
data\woman1.tiff	0.22142	-0.35268	-0.22620	0.38277	0.41564	0.24334	-0.17913	-0.33334	-0.30844	0.20495	-0.15699	0.20139	0.95323	
data\woman2.tiff	0.22995	-0.32843	-0.21533	0.41557	0.39119	0.23041	-0.17755	-0.34172	-0.34978	0.23420	-0.23864	0.22822	0.99894	
